                                                
+------------+------------+--------------+----------+-----+----------+-------------------------+
| student_id | first_name |  last_name   | major_id | gpa | major_id |          major          |
+------------+------------+--------------+----------+-----+----------+-------------------------+
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       36 | Database Administration |
|         11 | Casares    | Hijo         |       41 | 4.0 |       36 | Database Administration |
|         13 | Sterling   | Boss         |       41 | 3.9 |       36 | Database Administration |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       36 | Database Administration |
|         16 | Faye       | Conn         |       41 | 2.1 |       36 | Database Administration |
|         17 | Efren      | Reilly       |       37 | 3.9 |       36 | Database Administration |
|         20 | Larry      | Saunders     |       38 | 2.2 |       36 | Database Administration |
|         21 | Karl       | Kuhar        |       37 |     |       36 | Database Administration |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       36 | Database Administration |
|         23 | Obie       | Hilpert      |       37 |     |       36 | Database Administration |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       36 | Database Administration |
|         27 | Vanya      | Hassanah     |       41 | 4.0 |       36 | Database Administration |
|         29 | Helene     | Parker       |       38 | 3.4 |       36 | Database Administration |
|         30 | Mariana    | Russel       |       37 | 1.8 |       36 | Database Administration |
|         33 | Dejon      | Howell       |       37 | 4.0 |       36 | Database Administration |
|         34 | Aliya      | Gulgowski    |       42 | 2.6 |       36 | Database Administration |
|         35 | Ana        | Tupajic      |       38 | 3.1 |       36 | Database Administration |
|          6 | Rhea       | Kellems      |       36 | 2.5 |       37 | Web Development         |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       37 | Web Development         |
|         11 | Casares    | Hijo         |       41 | 4.0 |       37 | Web Development         |
|         13 | Sterling   | Boss         |       41 | 3.9 |       37 | Web Development         |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       37 | Web Development         |
|         16 | Faye       | Conn         |       41 | 2.1 |       37 | Web Development         |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       37 | Web Development         |
|         20 | Larry      | Saunders     |       38 | 2.2 |       37 | Web Development         |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       37 | Web Development         |
|         25 | Nathan     | Turner       |       36 | 3.3 |       37 | Web Development         |
|         26 | Gerald     | Osiki        |       38 | 2.2 |       37 | Web Development         |
|         27 | Vanya      | Hassanah     |       41 | 4.0 |       37 | Web Development         |
|         28 | Roxelana   | Florescu     |       36 | 3.2 |       37 | Web Development         |
|         29 | Helene     | Parker       |       38 | 3.4 |       37 | Web Development         |
|         32 | Mehdi      | Vandenberghe |       36 | 1.9 |       37 | Web Development         |
|         34 | Aliya      | Gulgowski    |       42 | 2.6 |       37 | Web Development         |
|         35 | Ana        | Tupajic      |       38 | 3.1 |       37 | Web Development         |
|          6 | Rhea       | Kellems      |       36 | 2.5 |       38 | Data Science            |
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       38 | Data Science            |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       38 | Data Science            |
|         11 | Casares    | Hijo         |       41 | 4.0 |       38 | Data Science            |
|         13 | Sterling   | Boss         |       41 | 3.9 |       38 | Data Science            |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       38 | Data Science            |
|         16 | Faye       | Conn         |       41 | 2.1 |       38 | Data Science            |
|         17 | Efren      | Reilly       |       37 | 3.9 |       38 | Data Science            |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       38 | Data Science            |
|         21 | Karl       | Kuhar        |       37 |     |       38 | Data Science            |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       38 | Data Science            |
|         23 | Obie       | Hilpert      |       37 |     |       38 | Data Science            |
|         25 | Nathan     | Turner       |       36 | 3.3 |       38 | Data Science            |
|         27 | Vanya      | Hassanah     |       41 | 4.0 |       38 | Data Science            |
|         28 | Roxelana   | Florescu     |       36 | 3.2 |       38 | Data Science            |
|         30 | Mariana    | Russel       |       37 | 1.8 |       38 | Data Science            |
|         32 | Mehdi      | Vandenberghe |       36 | 1.9 |       38 | Data Science            |
|         33 | Dejon      | Howell       |       37 | 4.0 |       38 | Data Science            |
|         34 | Aliya      | Gulgowski    |       42 | 2.6 |       38 | Data Science            |
|          6 | Rhea       | Kellems      |       36 | 2.5 |       39 | Network Engineering     |
|          8 | Kimberly   | Whitley      |       37 | 3.8 |       39 | Network Engineering     |
|          9 | Jimmy      | Felipe       |       36 | 3.7 |       39 | Network Engineering     |
|         11 | Casares    | Hijo         |       41 | 4.0 |       39 | Network Engineering     |
|         13 | Sterling   | Boss         |       41 | 3.9 |       39 | Network Engineering     |
|         15 | Kaija      | Uronen       |       41 | 3.7 |       39 | Network Engineering     |
|         16 | Faye       | Conn         |       41 | 2.1 |       39 | Network Engineering     |
|         17 | Efren      | Reilly       |       37 | 3.9 |       39 | Network Engineering     |
|         19 | Maxine     | Hagenes      |       36 | 2.9 |       39 | Network Engineering     |
|         20 | Larry      | Saunders     |       38 | 2.2 |       39 | Network Engineering     |
|         21 | Karl       | Kuhar        |       37 |     |       39 | Network Engineering     |
|         22 | Lieke      | Hazenveld    |       41 | 3.5 |       39 | Network Engineering     |
|         23 | Obie       | Hilpert      |       37 |     |       39 | Network Engineering     |
|         25 | Nathan     | Turner       |       36 | 3.3 |       39 | Network Engineering     |
